"Mega64","M/ME/mega64/","24298"
"Megamania 64","M/ME/megamania 64/","28744"
"Megatron","M/ME/megatron   26148/","26148"
"Melting Trail","M/ME/melting trail/","25774"
"MEM64!","M/ME/mem64!/","24104"
"Merge 64","M/ME/merge 64/","28442"
"Micro Fighter","M/MI/micro fighter/","11286"
"Micro Hexagon","M/MI/micro hexagon/","24797"
"Minesweep","M/MIN/minesweep  29902/","29902"
"Mini Arcade - Climax","M/MIN/mini arcade clim/","25736"
"Missile Alert","M/MIS/missile alert/","21656"
"Missile Evade","M/MIS/missile evade/","30314"
"Mission Moon","M/MIS/mission moon/","25089"
"Moggy-3","M/MO/moggy-3/","24085"
"Moggy","M/MO/moggy/","20852"
"Mollusk, The","M/MO/mollusk, the/","23598"
"Monster Buster","M/MO/monster buster/","24798"
"More... What!?","M/MOO/more what!/","27199"
"Mr. Wong's Loopy Laundry","M/MR/mr wong's l27183/","27183"
"Nanako in Classic Japanese","N/N/nanako in classi/","22413"
"Neptune Lander Elite","N/N/neptune lander e/","29276"
"Neuras","N/N/neuras/","30188"
"Night Knight","N/NI/night knight/","30074"
"Online","O/ON/online/","27579"
"On the Grid","O/ON/on the grid/","29629"
"Ordleik","O/ON/ordleik/","14496"
"Ornament Man","O/ON/ornament man/","27563"
"Out of INK","O/OS/out of ink/","28025"
"Out-Space","O/OS/out-space/","23669"
"P0 Snake","P/P/p0 snake/","25714"
"P1x3l-Pushr","P/P/p1x3l-pushr/","20875"
"Paccie 64","P/P/paccie 64/","28222"
"Pac-Wor","P/P/pac-wor/","30176"
"Paintress","P/P/paintress/","26517"
"Paku Paku [Preview]","P/P/paku paku [previ/","24130"
"Panic Analogue","P/P/panic analogue/","23607"
"Paper Planes","P/P/paper planes/","30209"
"Paranoids","P/PAR/paranoids/","27558"
"Partygames","P/PAR/partygames/","27170"
"Pattern Finder","P/PAR/pattern finder/","30133"
"PAX Pac-Man","P/PAR/pax pac-man/","29592"
"Petaxian [Preview]","P/PE/petaxian [previe/","30178"
"Peter the Postman","P/PE/peter the postma/","29561"
"Phoenix Recovered","P/PH/phoenix recovere/","29797"
"Pickle's Pod Patrol!","P/PI/pickle's pod pat/","26304"
"Picross","P/PI/picross/","26872"
"Pir8!","P/PI/pir8!/","21459"
"Pixel City Skater","P/PI/pixel city skate/","25716"
"Planet Balls","P/PL/planet balls/","29294"
"Platman","P/PL/platman/","26297"
"Plekthora","P/PL/plekthora/","30076"
"Pocket Dungeon","P/PO/pocket dungeon/","28008"
"Polar Present Panic","P/PO/polar present pa/","29591"
